id	name	bbx
1161	Sárhida	16.8184554,46.7410308,16.8604183,46.7691472
2884	Győrvár	16.8188397,46.9696846,16.9212034,47.0049541
2706	Pusztacsalád	16.8192864,47.4734087,16.969099,47.5357435
1116	Nagypáli	16.8202305,46.8984096,16.8567526,46.9402941
2860	Csénye	16.8208388,47.215049,16.8966232,47.2714183
2853	Chernelházadamonya	16.8210136,47.3556394,16.8614968,47.393247
2971	Pácsony	16.8230376,46.9893998,16.8697876,47.0472698
1143	Petrivente	16.8254408,46.405156,16.860759,46.4584703
2989	Répceszentgyörgy	16.8261947,47.3341833,16.8682993,47.3593646
1158	Rigyác	16.8263689,46.439439,16.8755445,46.4985296
	Megyehíd	16.8280785,47.1852034,16.8733456,47.22658
2992	Sajtoskál	16.8296862,47.3855497,16.8856084,47.4235838
2965	Oszkó	16.8314228,47.0137222,16.9133822,47.0664288
1165	Söjtör	16.8320438,46.62897,16.9066007,46.7232958
2634	Fertőszentmiklós	16.8327092,47.5237429,16.9399459,47.6037639
1028	Egervár	16.8381976,46.8865298,16.8826774,46.9621298
2980	Pósfa	16.8383784,47.3103734,16.8914014,47.3392582
1162	Semjénháza	16.8406268,46.384707,16.8655036,46.4226182
2938	Mesterháza	16.8417703,47.3572596,16.8820466,47.3881601
2658	Iván	16.8430844,47.4124836,16.9989605,47.4886455
1045	Gősfa	16.8445217,46.94718,16.9238605,46.975028
1108	Murakeresztúr	16.8506987,46.3205444,16.8966209,46.3859271
2631	Fertőd	16.8509194,47.5966409,17.0084857,47.6984211
3020	Tompaládony	16.8530653,47.362117,16.9127905,47.3982068
1222	Zalaszentiván	16.8540563,46.857188,16.9158295,46.9146614
2897	Ikervár	16.8542363,47.1568084,16.9484403,47.2371182
1015	Csatár	16.8546039,46.753948,16.8967588,46.7905628
1146	Pölöske	16.855173,46.6967916,16.9560884,46.789487
1176	Szepetnek	16.8557424,46.3829438,16.9289024,46.4475084
1190	Vasboldogasszony	16.8576915,46.9136331,16.9111774,46.9597422
2907	Kám	16.8597069,47.0561036,16.9212909,47.1467077
1029	Eszteregnye	16.86029,46.4420962,16.9014775,46.5306213
2888	Hegyfalu	16.8603755,47.3093533,16.9077147,47.3691789
2957	Nemesládony	16.8605023,47.391314,16.9111671,47.4238684
2995	Sárvár	16.860605,47.2095006,17.035257,47.3110875
2962	Olaszfa	16.8606414,46.9847394,16.933127,47.0278295
1219	Zalaszentbalázs	16.8696241,46.5631203,16.9474386,46.6217549
1050	Hahót	16.8699822,46.6031752,16.9605388,46.6982835
1005	Bocska	16.8726267,46.5306213,16.9189316,46.5704797
1011	Börzönce	16.8726267,46.5650457,16.9017019,46.5985358
797	Őrtilos	16.875248,46.2604323,16.9468191,46.3250788
1225	Zalaszentlőrinc	16.8757377,46.9051005,16.9111774,46.9317085
1001	Belezna	16.8789523,46.3082924,16.9590679,46.3787168
2702	Petőháza	16.8790313,47.5888608,16.9085436,47.6089036
3010	Szemenye	16.8812921,47.0780708,16.9517437,47.1161857
2985	Rábapaty	16.8852907,47.2823681,16.991822,47.3214554
1034	Fityeház	16.8859192,46.363382,16.9254033,46.3941066
1099	Magyarszerdahely	16.8872632,46.5182483,16.977485,46.5658627
1164	Sormás	16.8891357,46.4427559,16.9345739,46.5094834
2609	Csapod	16.8895085,47.4919057,16.9938683,47.5575127
3042	Zsédeny	16.8902277,47.3137608,16.9218447,47.3519166
1141	Pethőhenye	16.8908348,46.8436827,16.9344778,46.8870983
2632	Fertőendréd	16.8922508,47.5553047,16.9517349,47.6211346
1075	Kisbucsa	16.8934202,46.803554,16.9674419,46.8268262
